id,tx_id,amount,merchant,timestamp,features,fraud_score,label,created_at
2,TX-94821,2400.5,Online Electronics,2025-05-01T14:30:00,"{""additionalProp1"": {}}",0.9948377013206482,1,2026-05-05 14:47:52
3,TX-648072,14143.8,Amazon,2026-05-06T22:00:16.200801,{},0.13953861482144922,0,2026-05-06T22:00:16.200801
4,TX-459626,5333.02,Electronics Store,2026-05-06T18:03:16.200801,{},0.10187986487872197,0,2026-05-06T18:03:16.200801
5,TX-736904,14707.87,Uber,2026-05-07T05:42:16.200801,{},0.16267370986785207,0,2026-05-07T05:42:16.200801
6,TX-451433,12511.21,Foreign/Unrecognized,2026-05-06T13:02:16.200801,{},0.695788789273784,1,2026-05-06T13:02:16.200801
7,TX-772624,938.36,Local Grocery,2026-05-06T20:54:16.200801,{},0.11142326681621915,0,2026-05-06T20:54:16.200801
8,TX-670859,6882.37,Zomato,2026-05-07T02:47:16.200801,{},0.29574234594486826,0,2026-05-07T02:47:16.200801
9,TX-237782,2303.68,Foreign/Unrecognized,2026-05-06T17:03:16.200801,{},0.07426516776075875,0,2026-05-06T17:03:16.200801
10,TX-518364,11379.05,Electronics Store,2026-05-07T09:01:16.200801,{},0.016852793602260534,0,2026-05-07T09:01:16.200801
11,TX-210239,10742.52,Flipkart,2026-05-06T18:58:16.200801,{},0.15166425285798127,0,2026-05-06T18:58:16.200801
12,TX-953648,11300.3,Uber,2026-05-07T09:56:16.200801,{},0.09767488552670058,0,2026-05-07T09:56:16.200801
13,TX-697545,2813.8,Local Grocery,2026-05-06T21:21:16.200801,{},0.20714326745096964,0,2026-05-06T21:21:16.200801
14,TX-474715,7372.18,Local Grocery,2026-05-07T06:54:16.200801,{},0.20209508659585645,0,2026-05-07T06:54:16.200801
15,TX-824750,13902.19,Local Grocery,2026-05-06T15:49:16.200801,{},0.27597070487084385,0,2026-05-06T15:49:16.200801
16,TX-499291,4747.64,Flipkart,2026-05-06T18:29:16.200801,{},0.14692525622842753,0,2026-05-06T18:29:16.200801
17,TX-707605,11745.25,Zomato,2026-05-07T05:10:16.200801,{},0.25506659572153584,0,2026-05-07T05:10:16.200801
18,TX-560305,1058.77,Amazon,2026-05-06T22:00:16.200801,{},0.25465638287915143,0,2026-05-06T22:00:16.200801
19,TX-954577,14375.0,Uber,2026-05-06T22:20:16.200801,{},0.0494529849408002,0,2026-05-06T22:20:16.200801
20,TX-789073,10926.65,Amazon,2026-05-07T01:54:16.200801,{},0.0404346280304109,0,2026-05-07T01:54:16.200801
21,TX-354189,12081.78,Electronics Store,2026-05-07T09:27:16.200801,{},0.26706554462822,0,2026-05-07T09:27:16.200801
22,TX-960437,14870.78,Zomato,2026-05-07T09:24:16.200801,{},0.08710573219489769,0,2026-05-07T09:24:16.200801
23,TX-465081,5052.55,Electronics Store,2026-05-07T09:29:16.200801,{},0.22662391588454572,0,2026-05-07T09:29:16.200801
24,TX-112646,5229.66,Foreign/Unrecognized,2026-05-07T03:16:16.200801,{},0.7179753805978042,1,2026-05-07T03:16:16.200801
25,TX-869365,5661.4,Local Grocery,2026-05-07T04:38:16.200801,{},0.1830094999338068,0,2026-05-07T04:38:16.200801
26,TX-252984,11497.72,Local Grocery,2026-05-06T16:33:16.200801,{},0.11231562819556827,0,2026-05-06T16:33:16.200801
27,TX-361872,1428.82,Electronics Store,2026-05-06T23:59:16.200801,{},0.0809635362281635,0,2026-05-06T23:59:16.200801
28,TX-752789,7537.59,Local Grocery,2026-05-06T22:53:16.200801,{},0.07731489850423463,0,2026-05-06T22:53:16.200801
29,TX-879029,9674.52,Foreign/Unrecognized,2026-05-07T05:10:16.200801,{},0.8071650507955556,1,2026-05-07T05:10:16.200801
30,TX-208284,6317.24,Electronics Store,2026-05-07T00:07:16.200801,{},0.14444270982287133,0,2026-05-07T00:07:16.200801
