hour_bucket,total_tx,fraud_count,avg_fraud_score,max_fraud_score
2025-05-01 14:00,1,1,0.9948377013206482,0.9948377013206482
2026-05-06 12:00,24,0,0.1121728485223058,0.28672450443351083
2026-05-06 13:00,58,7,0.21861447859829664,0.8383331296804437
2026-05-06 14:00,63,2,0.19847673778463978,0.9319517768762648
2026-05-06 15:00,51,5,0.2255914400691156,0.955779838918714
2026-05-06 16:00,49,0,0.14663372068121813,0.2987876037609611
2026-05-06 17:00,48,4,0.20616785024424078,0.9746204202490378
2026-05-06 18:00,50,5,0.2148035549684573,0.8427526940363231
2026-05-06 19:00,42,3,0.2073472820014452,0.8755978600072255
2026-05-06 20:00,57,2,0.16902799360833273,0.6158666265897497
2026-05-06 21:00,56,3,0.1904263734073076,0.9345626615485834
2026-05-06 22:00,48,2,0.1678299119415223,0.658148336683031
2026-05-06 23:00,55,1,0.16168739859258072,0.5847258804557094
2026-05-07 00:00,41,11,0.30148712928983923,0.9859321858013546
2026-05-07 01:00,46,7,0.2551974266030017,0.9201119079559272
2026-05-07 02:00,38,11,0.34985289610751497,0.9285267164297637
2026-05-07 03:00,35,6,0.2716535320864759,0.9819262596771718
2026-05-07 04:00,55,17,0.3151982251071703,0.9831434892667885
2026-05-07 05:00,47,10,0.27639361130101525,0.9857175963073987
2026-05-07 06:00,50,3,0.21143430769609556,0.8531425896779361
2026-05-07 07:00,57,3,0.19139735264483554,0.9509059432394998
2026-05-07 08:00,46,5,0.2135994902333883,0.9390560345498806
2026-05-07 09:00,60,3,0.18030103719830548,0.9722173644665781
2026-05-07 10:00,51,2,0.16183722359020938,0.7867892306907409
2026-05-07 11:00,44,3,0.20997663814182282,0.9761765531454443
2026-05-07 12:00,28,0,0.13593344897960888,0.2669011397741761
